"spp","year","site","ind","plot","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","provenance.lat","provenance.long","species","genus","species.name","dvr","flowering","fruiting","allflofruit","fls","gs"
"ALNINC",2018,"HF","8",12,110,101.5,124,58,NA,151,192.166666666667,285.5,42.531705,-72.18992,"incana","Alnus","Alnus incana",14,NA,41.166666666667,NA,-22.5,161.5
"ALNINC",2018,"HF","9",15,110,101.5,121,58,NA,151,190.428571428571,267,42.531705,-72.18992,"incana","Alnus","Alnus incana",11,NA,39.428571428571,NA,-19.5,146
"ALNINC",2018,"HF","9",2,110,110.333333333333,128,58,NA,149,197.181818181818,288,42.531705,-72.18992,"incana","Alnus","Alnus incana",18,NA,48.181818181818,NA,-17.666666666667,160
"ALNINC",2018,"HF","9",6,114,NA,124,NA,NA,NA,NA,280,42.531705,-72.18992,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,156
"ALNINC",2018,"HF","9",9,110,108.5,128,58,89,156,182,278,42.531705,-72.18992,"incana","Alnus","Alnus incana",18,19.5,26,93,-19.5,150
"ALNINC",2018,"SH","1",1,103,NA,124,NA,NA,NA,NA,277,45.932675,-74.02507,"incana","Alnus","Alnus incana",21,NA,NA,NA,NA,153
"ALNINC",2018,"SH","1",12,110,82,124,NA,58,151,187.2,275.5,45.932675,-74.02507,"incana","Alnus","Alnus incana",14,24,36.2,129.2,-42,151.5
"ALNINC",2018,"SH","3",16,NA,NA,142,NA,NA,NA,NA,275.5,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,133.5
"ALNINC",2018,"SH","4",15,110,NA,124,NA,NA,NA,NA,281,45.932675,-74.02507,"incana","Alnus","Alnus incana",14,NA,NA,NA,NA,157
"ALNINC",2018,"SH","4",2,107,111.333333333333,124,NA,58,149,197.181818181818,268.5,45.932675,-74.02507,"incana","Alnus","Alnus incana",17,53.333333333333,48.181818181818,139.181818181818,-12.666666666667,144.5
"ALNINC",2018,"SH","5",2,114,NA,124,116,NA,NA,NA,265,45.932675,-74.02507,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,141
"ALNINC",2018,"SH","5",3,114,89,124,NA,NA,151,197.181818181818,281,45.932675,-74.02507,"incana","Alnus","Alnus incana",10,NA,46.181818181818,NA,-35,157
"ALNINC",2018,"SH","6",5,107,82,124,NA,58,NA,171.5,288,45.932675,-74.02507,"incana","Alnus","Alnus incana",17,24,NA,113.5,-42,164
"ALNINC",2018,"SH","8",9,103,NA,124,NA,NA,NA,NA,270,45.932675,-74.02507,"incana","Alnus","Alnus incana",21,NA,NA,NA,NA,146
"ALNINC",2018,"WM","1",1,114,NA,124,NA,NA,NA,NA,274,44.112337,-71.230138,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,150
"ALNINC",2018,"WM","2A",1,107,NA,124,NA,NA,NA,NA,270,44.112337,-71.230138,"incana","Alnus","Alnus incana",17,NA,NA,NA,NA,146
"ALNINC",2018,"WM","2B",1,103,88,124,58,64,NA,202.4,292.5,44.112337,-71.230138,"incana","Alnus","Alnus incana",21,24,NA,138.4,-36,168.5
"ALNINC",2018,"WM","5",1,114,NA,124,NA,NA,NA,NA,292.5,44.112337,-71.230138,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,168.5
"ALNINC",2018,"WM","5A",16,NA,NA,142,NA,NA,NA,NA,288,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,146
"ALNINC",2018,"WM","5A",2,100,82,124,58,64,NA,NA,280,44.112337,-71.230138,"incana","Alnus","Alnus incana",24,18,NA,NA,-42,156
"ALNINC",2018,"WM","5B",16,NA,NA,142,NA,NA,NA,NA,275.5,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,133.5
"ALNINC",2018,"WM","5B",2,114,NA,128,NA,NA,NA,NA,275,44.112337,-71.230138,"incana","Alnus","Alnus incana",14,NA,NA,NA,NA,147
"ALNINC",2019,"GR","1",3,100,129,119,NA,NA,155,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",19,NA,NA,NA,10,155
"ALNINC",2019,"GR","1",5,97,125,119,NA,NA,147,NA,263,44.794942,-71.146683,"incana","Alnus","Alnus incana",22,NA,NA,NA,6,144
"ALNINC",2019,"GR","11",1,NA,NA,115,NA,NA,NA,NA,249,44.794942,-71.146683,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,134
"ALNINC",2019,"GR","11",15,93,NA,119,NA,NA,NA,NA,263,44.794942,-71.146683,"incana","Alnus","Alnus incana",26,NA,NA,NA,NA,144
"ALNINC",2019,"GR","11A",3,NA,NA,112,NA,NA,NA,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,162
"ALNINC",2019,"GR","11B",3,97,100,119,NA,86,214,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",22,14,NA,NA,-19,155
"ALNINC",2019,"GR","8",16,97,NA,127,NA,NA,NA,NA,263,44.794942,-71.146683,"incana","Alnus","Alnus incana",30,NA,NA,NA,NA,136
"ALNINC",2019,"GR","8",3,97,123.5,119,NA,NA,150,221,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",22,NA,71,NA,4.5,155
"ALNINC",2019,"GR","8A",5,107,103,129,NA,86,211,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",22,17,NA,NA,-26,145
"ALNINC",2019,"GR","8B",5,97,119.5,119,NA,NA,142,228,263,44.794942,-71.146683,"incana","Alnus","Alnus incana",22,NA,86,NA,0.5,144
"ALNINC",2019,"HF","1",1,107,122.5,119,NA,86,147,NA,249,42.531705,-72.18992,"incana","Alnus","Alnus incana",12,36.5,NA,NA,3.5,130
"ALNINC",2019,"HF","1",16,107,100,119,86,NA,168,228,249,42.531705,-72.18992,"incana","Alnus","Alnus incana",12,NA,60,NA,-19,130
"ALNINC",2019,"HF","2",1,107,125.333333333333,135.5,NA,NA,147,NA,249,42.531705,-72.18992,"incana","Alnus","Alnus incana",28.5,NA,NA,NA,-10.166666666667,113.5
"ALNINC",2019,"HF","5",6,103,124.5,129,NA,NA,147,211,263,42.531705,-72.18992,"incana","Alnus","Alnus incana",26,NA,64,NA,-4.5,134
"ALNINC",2019,"HF","8",12,103,127,127,NA,NA,147,221,263,42.531705,-72.18992,"incana","Alnus","Alnus incana",24,NA,74,NA,0,136
"ALNINC",2019,"HF","9",15,97,133.333333333333,119,NA,NA,142,211,253,42.531705,-72.18992,"incana","Alnus","Alnus incana",22,NA,69,NA,14.333333333333,134
"ALNINC",2019,"HF","9",2,100,124.5,132,NA,86,147,228,253,42.531705,-72.18992,"incana","Alnus","Alnus incana",32,38.5,81,142,-7.5,121
"ALNINC",2019,"HF","9",6,100,121,123,NA,86,147,232,253,42.531705,-72.18992,"incana","Alnus","Alnus incana",23,35,85,146,-2,130
"ALNINC",2019,"HF","9",9,100,125,123,NA,NA,147,218,253,42.531705,-72.18992,"incana","Alnus","Alnus incana",23,NA,71,NA,2,130
"ALNINC",2019,"SH","1",1,93,NA,119,NA,NA,NA,NA,274,45.932675,-74.02507,"incana","Alnus","Alnus incana",26,NA,NA,NA,NA,155
"ALNINC",2019,"SH","1",12,103,121,123,74,NA,142,211,263,45.932675,-74.02507,"incana","Alnus","Alnus incana",20,NA,69,NA,-2,140
"ALNINC",2019,"SH","3",16,97,128.5,119,NA,86,161,228,263,45.932675,-74.02507,"incana","Alnus","Alnus incana",22,42.5,67,142,9.5,144
"ALNINC",2019,"SH","4",15,97,100,115,NA,86,150,211,253,45.932675,-74.02507,"incana","Alnus","Alnus incana",18,14,61,125,-15,138
"ALNINC",2019,"SH","4",2,NA,123.5,123,74,NA,147,186,NA,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,39,NA,0.5,NA
"ALNINC",2019,"SH","5",2,97,123.5,129,NA,NA,147,218,260,45.932675,-74.02507,"incana","Alnus","Alnus incana",32,NA,71,NA,-5.5,131
"ALNINC",2019,"SH","5",3,103,122,123,NA,NA,147,225,274,45.932675,-74.02507,"incana","Alnus","Alnus incana",20,NA,78,NA,-1,151
"ALNINC",2019,"SH","6",5,97,121,112,74,NA,142,193,274,45.932675,-74.02507,"incana","Alnus","Alnus incana",15,NA,51,NA,9,162
"ALNINC",2019,"SH","8",9,103,123.5,129,86,NA,147,190,274,45.932675,-74.02507,"incana","Alnus","Alnus incana",26,NA,43,NA,-5.5,145
"ALNINC",2019,"WM","1",1,100,147,123,NA,NA,147,NA,249,44.112337,-71.230138,"incana","Alnus","Alnus incana",23,NA,NA,NA,24,126
"ALNINC",2019,"WM","2A",1,NA,100,112,74,NA,221,NA,253,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,-12,141
"ALNINC",2019,"WM","2B",1,103,123.5,119,74,NA,140,218,263,44.112337,-71.230138,"incana","Alnus","Alnus incana",16,NA,78,NA,4.5,144
"ALNINC",2019,"WM","5",1,97,100,112,NA,86,155,NA,274,44.112337,-71.230138,"incana","Alnus","Alnus incana",15,14,NA,NA,-12,162
"ALNINC",2019,"WM","5A",16,NA,122,112,NA,NA,147,228,274,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,81,NA,10,162
"ALNINC",2019,"WM","5A",2,100,107,123,NA,NA,NA,221,253,44.112337,-71.230138,"incana","Alnus","Alnus incana",23,NA,NA,NA,-16,130
"ALNINC",2019,"WM","5B",16,97,103,123,NA,NA,161,228,274,44.112337,-71.230138,"incana","Alnus","Alnus incana",26,NA,67,NA,-20,151
"ALNINC",2019,"WM","5B",2,103,123.5,119,NA,86,147,245,274,44.112337,-71.230138,"incana","Alnus","Alnus incana",16,37.5,98,159,4.5,155
"ALNINC",2020,"GR","1",3,98,NA,143,NA,NA,NA,275,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",45,NA,NA,NA,NA,139
"ALNINC",2020,"GR","1",5,91,NA,148,NA,NA,NA,NA,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",57,NA,NA,NA,NA,134
"ALNINC",2020,"GR","11",1,91,NA,154,NA,NA,NA,268,268,44.794942,-71.146683,"incana","Alnus","Alnus incana",63,NA,NA,NA,NA,114
"ALNINC",2020,"GR","11",15,NA,119,143,NA,NA,NA,NA,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",NA,NA,NA,NA,-24,139
"ALNINC",2020,"GR","11A",3,85,NA,154,NA,NA,NA,275,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",69,NA,NA,NA,NA,128
"ALNINC",2020,"GR","11B",3,98,NA,148,NA,NA,NA,NA,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",50,NA,NA,NA,NA,134
"ALNINC",2020,"GR","8",16,NA,NA,143,NA,NA,NA,275,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,139
"ALNINC",2020,"GR","8",3,91,108,154,NA,NA,NA,NA,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",63,NA,NA,NA,-46,128
"ALNINC",2020,"GR","8A",5,108,NA,154,NA,NA,NA,297,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",46,NA,NA,NA,NA,128
"ALNINC",2020,"GR","8B",5,98,NA,154,NA,NA,NA,NA,282,44.794942,-71.146683,"incana","Alnus","Alnus incana",56,NA,NA,NA,NA,128
"ALNINC",2020,"HF","1",1,108,NA,133,NA,NA,NA,NA,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",25,NA,NA,NA,NA,149
"ALNINC",2020,"HF","1",16,NA,NA,135,NA,NA,NA,268,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,147
"ALNINC",2020,"HF","2",1,108,NA,143,NA,NA,NA,275,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",35,NA,NA,NA,NA,139
"ALNINC",2020,"HF","5",6,100,NA,154,NA,NA,NA,293,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",54,NA,NA,NA,NA,128
"ALNINC",2020,"HF","8",12,NA,NA,157,NA,NA,NA,NA,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,125
"ALNINC",2020,"HF","9",15,NA,NA,154,NA,NA,NA,NA,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,128
"ALNINC",2020,"HF","9",2,100,NA,154,NA,NA,NA,275,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",54,NA,NA,NA,NA,128
"ALNINC",2020,"HF","9",6,98,NA,157,NA,NA,NA,293,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",59,NA,NA,NA,NA,125
"ALNINC",2020,"HF","9",9,NA,NA,164,NA,NA,NA,280.5,282,42.531705,-72.18992,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,118
"ALNINC",2020,"SH","1",1,85,NA,154,NA,NA,NA,NA,NA,45.932675,-74.02507,"incana","Alnus","Alnus incana",69,NA,NA,NA,NA,NA
"ALNINC",2020,"SH","1",12,NA,NA,143,NA,NA,NA,284,275,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,132
"ALNINC",2020,"SH","3",16,NA,NA,157,NA,NA,NA,275,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,125
"ALNINC",2020,"SH","4",15,NA,NA,154,NA,NA,NA,NA,275,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,121
"ALNINC",2020,"SH","4",2,98,NA,157,NA,NA,NA,275,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",59,NA,NA,NA,NA,125
"ALNINC",2020,"SH","5",2,91,NA,NA,NA,NA,NA,NA,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,NA
"ALNINC",2020,"SH","5",3,98,NA,139,NA,NA,NA,275,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",41,NA,NA,NA,NA,143
"ALNINC",2020,"SH","6",5,85,NA,148,NA,NA,NA,NA,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",63,NA,NA,NA,NA,134
"ALNINC",2020,"SH","8",9,NA,NA,NA,NA,NA,NA,NA,282,45.932675,-74.02507,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,NA
"ALNINC",2020,"WM","1",1,108,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",35,NA,NA,NA,NA,139
"ALNINC",2020,"WM","2A",1,98,NA,154,NA,NA,NA,291.5,NA,44.112337,-71.230138,"incana","Alnus","Alnus incana",56,NA,NA,NA,NA,NA
"ALNINC",2020,"WM","2B",1,98,NA,148,NA,NA,NA,301,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",50,NA,NA,NA,NA,134
"ALNINC",2020,"WM","5",1,85,NA,148,NA,NA,NA,NA,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",63,NA,NA,NA,NA,134
"ALNINC",2020,"WM","5A",16,NA,NA,148,NA,NA,NA,NA,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,134
"ALNINC",2020,"WM","5A",2,98,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",45,NA,NA,NA,NA,139
"ALNINC",2020,"WM","5B",16,NA,NA,143,NA,NA,NA,NA,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,139
"ALNINC",2020,"WM","5B",2,85,NA,NA,NA,NA,NA,275,282,44.112337,-71.230138,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,NA
"AMECAN",2018,"GR","10",2,96,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",28,7,27.571428571429,38.571428571429,7,NA
"AMECAN",2018,"GR","10",6,103,131,124,116,124,135,164.5,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",21,7,29.5,40.5,7,NA
"AMECAN",2018,"GR","10A",3,93,199.5,124,116,124,135,162.571428571429,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",31,75.5,27.571428571429,38.571428571429,75.5,NA
"AMECAN",2018,"GR","10A",5,103,131,124,116,124,135,160.833333333333,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",21,7,25.833333333333,36.833333333333,7,NA
"AMECAN",2018,"GR","10B",3,96,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",28,7,27.571428571429,38.571428571429,7,NA
"AMECAN",2018,"GR","10B",5,103,131,124,116,124,135,162.571428571429,NA,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",21,7,27.571428571429,38.571428571429,7,NA
"AMECAN",2018,"SH","2",6,110,NA,131,NA,NA,NA,NA,NA,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",21,NA,NA,NA,NA,NA
"AMECAN",2018,"SH","3",15,103,NA,124,NA,NA,NA,NA,NA,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",21,NA,NA,NA,NA,NA
"AMECAN",2018,"SH","4",5,96,131,124,116,124,135,164.5,NA,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",28,7,29.5,40.5,7,NA
"AMECAN",2018,"SH","4",6,103,NA,124,NA,NA,NA,NA,NA,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",21,NA,NA,NA,NA,NA
"AMECAN",2018,"WM","1",2,93,138,124,NA,NA,NA,NA,NA,44.112337,-71.230138,"canadensis","Amelanchier","Amelanchier canadensis",31,NA,NA,NA,14,NA
"AMECAN",2019,"GR","10",2,112,NA,135,NA,NA,NA,NA,253,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",23,NA,NA,NA,NA,118
"AMECAN",2019,"GR","10",6,93,119,112,107,NA,140,NA,240,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",19,NA,NA,NA,7,128
"AMECAN",2019,"GR","10A",3,NA,123,112,NA,NA,140,NA,232,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",NA,NA,NA,NA,11,120
"AMECAN",2019,"GR","10A",5,119,NA,135,NA,NA,NA,NA,240,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",16,NA,NA,NA,NA,105
"AMECAN",2019,"GR","10B",3,93,127,112,NA,NA,140,NA,249,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",19,NA,NA,NA,15,137
"AMECAN",2019,"GR","10B",5,93,119,119,107,NA,135,NA,232,44.794942,-71.146683,"canadensis","Amelanchier","Amelanchier canadensis",26,NA,NA,NA,0,113
"AMECAN",2019,"SH","2",6,NA,NA,155,NA,NA,NA,NA,NA,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",NA,NA,NA,NA,NA,NA
"AMECAN",2019,"SH","3",15,93,119,112,107,NA,NA,NA,260,45.932675,-74.02507,"canadensis","Amelanchier","Amelanchier canadensis",19,NA,NA,NA,7,148
