IND,Plot,Wet Weight,LA,Dry Mass,Height,DBH
SPITOM_HF_6_2,11,0.0638,,0.020104,,
VIBCAS_GR_10_1,11,0.5741,,0.19521,55.6,
VIBCAS_GR_10_2,11,0.55911,,0.19379,,
VIBCAS_GR_1B_1,11,0.05822,,0.01986,,
VIBCAS_GR_1B_2,11,0.04858,,0.01571,,
AROMEL_HF_8A_1,11,0.25821,,0.08533,68.2,
AROMEL_HF_8A_2,11,0.42663,,0.15762,,
AROMEL_HF_8B_1,11,0.06994,,0.02763,155.8,
AROMEL_HF_8B_2,11,0.07433,,0.02615,,
ALNINC_SH_1_1,12,0.77614,,0.21785,271.2,2
ALNINC_SH_1_2,12,0.6572,,0.19366,,
ACEPEN_HF_12_1,12,1.217,,0.3706,149.6,1.6
ACEPEN_HF_12_2,12,1.2855,,0.41796,,
ALNINC_HF_8_1,12,0.6394,,0.23004,230.8,1.7
ALNINC_HF_8_2,12,0.8421,,0.27872,,
BETPOP_GR_5A_1,12,0.25791,,0.0787,103.6,
BETPOP_GR_5A_2,12,0.51287,,0.017796,,
BETPOP_GR_5B_1,12,0.38387,,0.10882,147.9,
BETPOP_GR_5B_2,12,0.56845,,0.16781,,
BETPAP_HF_16_1,12,0.2016,,0.07723,70.8,
BETPAP_HF_16_2,12,0.72062,,0.25599,,
BETALL_WM_8A_1,12,0.39378,,0.14387,81,
BETALL_WM_8A_2,12,0.385,,0.13713,,
BETPAP_GR_8_1,12,0.3024,,0.11134,36.4,
BETPAP_GR_8_2,12,0.42201,25.34,0.12713,,
BETPOP_GR_5C_1,12,0.1832,,0.05764,70.2,
BETPOP_GR_5C_2,12,0.37814,,0.10647,,
BETALL_WM_8B_1,12,0.4528,,0.13971,99.6,
BETALL_WM_8B_2,12,0.38067,,0.12268,,
SAMRAC_HF_A_1,13,2.99,,0.70438,172.8,1
SAMRAC_HF_A_2,13,2.907,,0.73586,,
VACMYR_WM_5_1,13,0.0173,,0.0082,20.4,
VACMYR_WM_5_2,13,0.02542,,0.00774,,
DIELON_WM_1A_1,13,0.2537,,0.07767,50.8,
DIELON_WM_1A_2,13,0.4118,,0.12288,,
SAMRAC_HF_B_1,13,3.95,,0.95244,175.8,1.4
SAMRAC_HF_B_2,13,3.13199,,0.6896,,
VACMYR_GR_10A_1,13,0.02723,,0.01164,12.2,
VACMYR_GR_10A_2,13,0.02859,,0.01227,,
DIELON_HF_2A_1,13,0.05725,,0.02029,135.4,
DIELON_HF_2A_2,13,0.2663,,0.072,,
SORAME_SH_1A_1,13,0.954,,0.33276,45.2,
SORAME_SH_1A_2,13,0.6338,,0.22325,,
VACMYR_GR_10B_1,13,0.01195,,0.00502,11,
VACMYR_GR_10B_2,13,0.00731,,0.0033,,
SORAME_SH_1B_1,13,1.4578,,0.50833,60.1,
SORAME_SH_1B_2,13,1.09,,0.39215,,
DIELON_GR_8_1,13,0.197,,0.07191,61.4,
DIELON_GR_8_2,13,0.2703,,0.09147,,
DIELON_WM_1C_1,13,0.31412,,0.09452,57.4,
DIELON_WM_1C_2,13,0.26987,,0.08063,,
DIELON_SH_2B_1,13,0.25589,,0.07249,63.4,
DIELON_SH_2B_2,13,0.5887,,0.17904,,
SAMRAC_HF_D_1,13,4.53,,0.92491,197.5,1.6
SAMRAC_HF_D_2,13,2.0505,,0.44506,,
DIELON_HF_2C_1,13,0.27053,,0.09252,85.2,
DIELON_HF_2C_2,13,0.4458,,0.14265,,
SAMRAC_GR_8_1,13,2.578,,0.5645,132.4,
SAMRAC_GR_8_2,13,2.23,,0.45272,,
SAMRAC_HF_C_1,13,3.01,,0.67487,178.4,1.1
SAMRAC_HF_C_2,13,3.068,,0.69494,,
VACMYR_GR_10C_1,13,0.02022,,0.00794,11.1,
VACMYR_GR_10C_2,13,0.03652,,0.01419,,
DIELON_WM_1B_1,13,0.258,,0.09054,61.4,
DIELON_WM_1B_2,13,0.3388,,0.11568,,
DIELON_SH_2A_1,13,0.22884,,0.07075,88.8,
DIELON_SH_2A_2,13,0.3352,,0.09536,,
DIELON_SH_4_1,13,0.27908,,0.09363,60,
DIELON_SH_4_2,13,0.21009,,0.07962,,
SORAME_SH_3_1,13,0.346,,0.10012,39.6,
SORAME_SH_3_2,13,0.6485,,0.20394,,
DIELON_HF_2B_1,13,0.298,,0.09574,65.6,
DIELON_HF_2B_2,13,0.51541,,0.15275,,
MYRGAL_WM_6_1,14,0.04776,,0.01761,31.8,
MYRGAL_WM_6_2,14,0.06831,,0.02558,,
VIBCAS_WM_7_1,14,0.08555,,0.02604,22.4,
VIBCAS_WM_7_2,14,0.11147,,0.03685,,
SAMRAC_GR_4_1,14,0.4854,,0.14152,11.2,
SAMRAC_GR_4_2,14,0.27033,,0.07825,,
AROMEL_WM_2_1,14,0.1415,,0.0511,28.2,
AROMEL_WM_2_2,14,0.13987,,0.05093,,
VIBCAS_HF_7_1,14,0.42691,,0.1432,58.2,
VIBCAS_HF_7_2,14,0.58216,,0.19453,,
VIBCAS_GR_3_1,14,0.2667,,0.08682,40.8,
VIBCAS_GR_3_2,14,0.32826,,0.10729,,
AROMEL_HF_13_1,14,0.26695,,0.08697,62.2,
AROMEL_HF_13_2,14,0.26309,,0.0882,,
DIELON_GR_6_1,14,0.25315,,0.08821,59.8,
DIELON_GR_6_2,14,0.25254,,0.08938,,
DIELON_GR_2_1,14,0.26414,,0.08787,65.3,
DIELON_GR_2_2,14,0.50972,,0.15916,,
AROMEL_HF_12_1,14,0.2772,,0.09827,58,
AROMEL_HF_12_2,14,0.3403,,0.11771,,
MYRGAL_SH_99_1,14,0.04546,,0.01552,64.2,
MYRGAL_SH_99_2,14,0.05058,,0.01692,,
DIELON_SH_4_1,14,0.05489,,0.02093,31.1,
DIELON_SH_4_2,14,0.06453,,0.02639,,
SORAME_SH_3_1,14,0.32839,,0.12214,20.4,
SORAME_SH_3_2,14,0.33277,,0.12737,,
BETALL_GR_13_1,15,0.22476,,0.08439,82.8,
BETALL_GR_13_2,15,0.22149,,0.09134,,
AMECAN_SH_3_1,15,0.13177,,0.0532,49.9,
AMECAN_SH_3_2,15,0.20632,,0.08,,
BETALL_GR_14_1,15,0.23355,,0.08812,78.6,
BETALL_GR_14_2,15,0.47,,0.17559,,
ALNINC_SH_4_1,15,0.5748,,0.21077,187.2,1.1
ALNINC_SH_4_2,15,0.6452,,0.23976,,
BETPOP_WM_9_1,15,0.301,,0.10725,85.4,
BETPOP_WM_9_2,15,0.35572,,0.11244,,
ALNINC_GR_11_1,15,0.8054,,0.23261,75.6,
ALNINC_GR_11_2,15,0.71469,,0.2428,,
ALNINC_HF_9_1,15,0.6972,,0.23895,272.6,1.8
ALNINC_HF_9_2,15,0.7152,,0.23095,,
QUEALB_HF_4_1,15,0.26497,,0.10064,37.4,
QUEALB_HF_4_2,15,0.66105,,0.23146,,
BETPOP_WM_7_1,15,0.3512,,0.0972,194.2,
BETPOP_WM_7_2,15,0.40136,,0.12824,,
BETPOP_WM_8_1,15,0.21907,,0.07912,117.4,
BETPOP_WM_8_2,15,0.3059,,0.11219,,
BETPOP_WM_8_1,16,0.3786,,0.13852,178,
BETPOP_WM_8_2,16,0.5206,,0.18272,,
QUEALB_HF_4A_1,16,0.3696,,0.13178,36.2,
QUEALB_HF_4A_2,16,0.5146,,0.20727,,
QUEALB_HF_4B_1,16,0.52006,,0.18093,35.6,
QUEALB_HF_4B_2,16,0.4852,,0.16672,,
ALNINC_GR_8_1,16,0.57272,,0.22663,75.6,
ALNINC_GR_8_2,16,0.60045,,0.23087,,
ALNINC_WM_5A_1,16,0.52549,,0.19159,126.2,
ALNINC_WM_5A_2,16,0.63165,,0.24112,,
BETPOP_GR_3_1,16,0.34847,,0.12455,144.8,
BETPOP_GR_3_2,16,0.3119,,0.11626,,
ALNINC_SH_3_1,16,0.57054,,0.19806,91.2,
ALNINC_SH_3_2,16,0.58545,,0.21533,,
BETALL_SH_7_1,16,0.46877,,0.15368,82.4,
BETALL_SH_7_2,16,0.66906,,0.20324,,
ALNINC_HF_1_1,16,0.47162,,0.17163,67.2,
ALNINC_HF_1_2,16,0.57824,,0.19975,,
BETALL_GR_14_1,16,0.30863,,0.1073,68.6,
BETALL_GR_14_2,16,0.1852,,0.06546,,
ALNINC_WM_5B_1,16,0.402,,0.15189,87.9,
ALNINC_WM_5B_2,16,0.45527,,0.17909,,
