ID,Plot,Phase,3.3.2020,3.9.2020,3.9.2020,3.18.2020,3.25.2020,3.31.2020,4.7.2020,4.9.2020,4.17.2020,4.20.2020,4.23.2020,4.28.2020,5.1.2020,5.7.2020,5.12.2020,5.14.2020,5.22.2020,5.27.2020,6.2.2020,6.5.2020,6.12.2020,6.15.2020,6.23.2020,6.25.2020,7.3.2020,7.6.2020,7.16.2020,7.24.2020,8.1.2020,8.7.2020,8.16.2020,8.28.2020,9.4.2020,9.11.2020,9.19.2020,9.24.2020,10.1.2020,10.8.2020,10.19.2020,10.27.2020,11.6.2020,11.16.2020
ALNINC_SH_4,2,Flowers,67-m; 62-f,68-m; 64-f,68-m; 64-f,68-m; 64-f,69-m; 68-f,68-f,68-f,68-f,68-f,68-f,69-f,,,,,,,,,,74,75,75,75,75,75,75,76/100m,76/100m,76/100m,78/100m,78,78,78,78,78/91,"79, 92","102m,79",,,,
ALNINC_SH_5,2,Leaves,,,,,,9,10,11,14,15,16,16,17,18,,,,,,,,,,,,,,100,100m,100m,100,100/100m,100/100m,100/100m,101/101m,10/101m,102/102m,"102,97",98,98,99,99
ALNINC_SH_5,2,Flowers,62-m,64-m,64-m,65-m,69-m,,,,,,,,,,,,,,,,,,61,64,68/71,74,75,76/100m,76/100,76/100,77/100m,77/92,77/92,77/93,77/93,77/94,"77, 97","102m,79",,,,
AMECAN_WM_1,2,Leaves,,,,,9,9,11,12,15,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
AMECAN_WM_1,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,68/74,68/74,68/74,74,76,76,76,77,77,78,79,79,,,,
BETPAP_GR_5A,2,Leaves,,,,,,,,,,9,9,9,11,18,18,19,,,,,,,,,,,,,,,,,,,,,,"102,91",94,96,97,99
BETPAP_GR_5A,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,102,,,102m,,,,
BETALL_GR_13,2,Leaves,,,,,,,,,9,10,11,12,14,18,18,18,19,,,,,,,,,,,,,,100,101,101,102,102,92,92,"102,92",97,98,99,99
BETALL_GR_13,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_WM_5A,2,Leaves,,,,,,,9,11,12,15,17,17,18,18,18,18,19,,,,,,,,,,,100,76,76/100,77/100m,100/100m,100/100m,100/100m,101/101m,101/101m,102/101m,"102,97",97,97,98,99
ALNINC_WM_5A,2,Flowers,64-m,67-m; 62-f,67-m; 62-f,68-m; 63-f,68-m; 68-f,69-m; 68-f,68-f,68-f,69-f,,,,,,,,,,72,73,74,75,75,75,75,75,75,76/100m,100/100m,100m,100,77,77,77,77/92,78/94,"78, 95","102m,79",,,,
BETPAP_HF_16,2,Leaves,,,,,,,,9,11,14,15,17,18,19,19,,,,,,,,,,,,,,100,,100/100m,100/100m,100/100m,100/100m,101/101m,101/101m,102/102m,102,91,94,95,99
BETPAP_HF_16,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,74,100m,100m,,,,,,,,,102m,,,,
BETPOP_HF_5,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,92",99,99,99,99
BETPOP_HF_5,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102m,,,,
ACEPEN_HF_12,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_HF_12,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPOP_WM_7,2,Leaves,,,,,,,,9,9,10,10,12,14,19,18,19,,,,,,,,,,,,,100,79/100,100m,100/100m,100/100m,100/100m,100/101m,101/101m,102/102m,"102,91",95,96,98,99
BETPOP_WM_7,2,Flowers,,,,,,,,,,61,63,64,64,67,71,71,71,72,72,73,74,74,75,75,75,76,76,76/100m,76/100m,100m,100,,,,,,,102m,,,79,
ACEPEN_WM_5,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_WM_5,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPAP_GR_5B,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETPAP_GR_5B,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ALNINC_HF_9,2,Leaves,,,,,,,,9,10,11,13,14,15,17,18,18,18,18,19,,,,,,,,,,100,76/100,77/100m,77/100m,77/100,100/100m,101/101m,101/101m,102/102m,"102,98",98,98,98,99
ALNINC_HF_9,2,Flowers,64-m,66-m; 64-f,66-m; 64-f,67-m; 64-f,68-m; 68-f,69-m; 68-f,68-f,68-f,69-f,,,,,,,,71,71,72,72,73,73,74,76,76,76,75,76,76/100m,100m,100,100,100m,77/93,77/94,78/94,"79, 98","102m,79",,,,
BETPOP_HF_1,2,Leaves,,,,,,,,9,10,11,11,11,12,19,19,,,,,,,,,,,,,,100,79,100m/100,100/100m,100/100m,100/100m,100/100m,101/101m,102/102m,"102,92",94,96,97,99
BETPOP_HF_1,2,Flowers,,,,,,,,,,61,61,62,64,67,71,71,72,72,72,73,74,74,74,74,75,75,,,,,,,,,,,91,102m,,,79,
AMECAN_GR_10,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,98",99,99,99,99
AMECAN_GR_10,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
ALNINC_WM_5B,2,Leaves,,,,,9,9,9,9,11,14,14,15,17,18,,,,,,,,,,,,,,,,,100m,100/100m,100/100m,100/100m,100/100m,102/101m,102m,"102,96",97,97,98,99
ALNINC_WM_5B,2,Flowers,,64-m; 63-f,64-m; 63-f,67-m; 64-f,69-m; 67-f,67-f,68-f,68-f,68-f,69-f,,,,,,,,,,,,,,,,,75,76,76/100m,76/100m,77/100,77/93,77/93,77/93,78/94,78/95,"79, 96","102m,79",,,,
ACEPEN_HF_12,2,Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
ACEPEN_HF_12,2,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
BETALL_GR_9,3,Leaves,,,,,,,,,9,10,10,11,12,18,18,18,19,,,,,,,,,,,100,100,100,100,101,102,,,,92,"102,95",98,99,99,99
BETALL_GR_9,3,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,
