id,species,site,ind,leaf,SLA,LDMC,year
BETPOP_WM_7_1,BETPOP,WM,7,1,26.15897645,270.5379828,2019
BETALL_SH_4A_2,BETALL,SH,4A,2,21.65335733,271.3649127,2019
SPIALB_SH_8_1,SPIALB,SH,8,1,37.82238443,271.7355372,2019
DIELON_HF_3_2,DIELON,HF,3,2,22.23521108,271.8105516,2019
SAMRAC_HF_D_1,SAMRAC,HF,D,1,22.35881083,272.190961,2022
DIELON_SH_4_2,DIELON,SH,4,2,23.97373713,272.2383253,2019
MYRGAL_WM_6B_1,MYRGAL,WM,6B,1,19.45945946,272.3622574,2019
DIELON_SH_2B_1,DIELON,SH,2B,1,29.2601626,272.6909945,2022
BETALL_GR_9_2,BETALL,GR,9,2,23.81239046,273.14545,2019
MYRGAL_SH_2B_1,MYRGAL,SH,2B,1,23.66259711,273.1958763,2019
SPIALB_SH_8_2,SPIALB,SH,8,2,35.58151346,273.3203776,2019
VIBCAS_GR_12A_2,VIBCAS,GR,12A,2,19.42775393,273.6330345,2019
VIBCAS_WM_4_1,VIBCAS,WM,4,1,20.17183463,273.8433597,2022
VIBCAS_SH_1A_2,VIBCAS,SH,1A,2,24.17590361,274.1022875,2022
MYRGAL_WM_6A_2,MYRGAL,WM,6A,2,26.41866913,274.2712294,2019
SPIALB_WM_7A_1,SPIALB,WM,7A,1,33.13373969,274.372848,2019
SPIALB_SH_7_1,SPIALB,SH,7,1,37.83942833,274.4894427,2019
ACEPEN_WM_5_2,ACEPEN,WM,5,2,25.24696189,274.6040724,2019
SPIALB_SH_9A_2,SPIALB,SH,9A,2,36.77668901,274.6458924,2019
ALNINC_GR_1_2,ALNINC,GR,1,2,22.62770161,274.7587131,2019
VIBCAS_GR_9_2,VIBCAS,GR,9,2,17.391032,275.2442529,2019
BETALL_GR_9_1,BETALL,GR,9,1,22.89434524,275.6923077,2019
ACEPEN_WM_5_1,ACEPEN,WM,5,1,28.57048093,275.8823529,2019
SPIALB_HF_1_2,SPIALB,HF,1,2,38.77595156,276.3566818,2019
ALNINC_HF_9_1,ALNINC,HF,9,1,25.41394754,276.4219015,2022
BETPOP_WM_7_1,BETPOP,WM,7,1,19.17489712,276.7653759,2019
BETPOP_GR_5_2,BETPOP,GR,5,2,20.63341827,277.4747475,2019
VIBCAS_GR_12A_1,VIBCAS,GR,12A,1,19.40547298,277.596401,2019
MYRGAL_SH_1B_2,MYRGAL,SH,1B,2,35.05741627,277.9255319,2022
SPIALB_WM_7A_2,SPIALB,WM,7A,2,33.7673546,278.0966294,2019
BETPOP_WM_7_2,BETPOP,WM,7,2,22.51844314,278.176157,2019
SPIALB_WM_7B_1,SPIALB,WM,7B,1,33.26548673,278.3251232,2019
VIBCAS_SH_1_2,VIBCAS,SH,1,2,17.87477954,278.5340314,2019
MYRGAL_SH_2_1,MYRGAL,SH,2,1,29.85507246,278.5346655,2022
DIELON_WM_1C_2,DIELON,WM,1C,2,44.29675573,278.8717403,2022
BETALL_SH_9_1,BETALL,SH,9,1,23.1139697,279.8223777,2022
MYRGAL_SH_2B_2,MYRGAL,SH,2B,2,24.41793893,279.9145299,2019
VIBCAS_SH_5_2,VIBCAS,SH,5,2,16.02122832,279.9332544,2019
SPIALB_SH_7A_2,SPIALB,SH,7A,2,31.71332587,279.9373041,2019
MYRGAL_SH_1B_2,MYRGAL,SH,1B,2,22.49591281,280.1526718,2019
VIBCAS_GR_12B_1,VIBCAS,GR,12B,1,18.3708336,280.4882459,2019
BETPAP_GR_8_1,BETPAP,GR,8,1,25.21248741,280.5084746,2019
SPIALB_WM_7A_1,SPIALB,WM,7A,1,34.85578678,280.6352459,2019
ALNINC_SH_1_1,ALNINC,SH,1,1,24.96167087,280.6838972,2019
SAMRAC_GR_9_1,SAMRAC,GR,9,1,19.51237245,281.1446604,2022
BETALL_WM_9_2,BETALL,WM,9,2,23.55071671,281.2,2019
BETALL_GR_12_2,BETALL,GR,12,2,21.44483363,281.3963039,2019
BETPOP_GR_5C_2,BETPOP,GR,5C,2,22.06067437,281.5623843,2019
MYRGAL_WM_6B_2,MYRGAL,WM,6B,2,23.98729711,281.9900498,2019
MYRGAL_GR_8C_1,MYRGAL,GR,8C,1,23.29434698,282.0230896,2019
BETPOP_GR_5B_2,BETPOP,GR,5B,2,22.10667534,282.2813863,2019
SAMRAC_HF_B_1,SAMRAC,HF,B,1,22.37003649,282.4509394,2022
BETPAP_GR_5B_1,BETPAP,GR,5B,1,19.66920609,282.7664399,2019
BETPOP_WM_7_2,BETPOP,WM,7,2,25.47382263,283.2828871,2019
DIELON_SH_2B_1,DIELON,SH,2B,1,28.2245827,283.2857869,2019
BETPOP_GR_5B_1,BETPOP,GR,5B,1,24.20510935,283.4813869,2019
VIBCAS_SH_1B_2,VIBCAS,SH,1B,2,19.25110938,283.5149157,2019
VIBCAS_SH_5A_2,VIBCAS,SH,5A,2,17.60679386,283.9962997,2022
SPIALB_GR_12_2,SPIALB,GR,12,2,33.5710111,284.2192691,2019
VIBCAS_GR_10_2,VIBCAS,GR,10,2,18.42833152,284.3140008,2019
DIELON_WM_XX_2,DIELON,WM,XX,2,NA,284.3443354,2022
DIELON_SH_2A_2,DIELON,SH,2A,2,27.83452181,284.4868735,2019
VIBCAS_WM_4_2,VIBCAS,WM,4,2,17.41603036,284.6266667,2019
ALNINC_WM_5B_1,ALNINC,WM,5B,1,21.92861096,285.0247642,2022
SPIALB_GR_12A_2,SPIALB,GR,12A,2,32.12362911,285.3485064,2019
DIELON_WM_XX_1,DIELON,WM,XX,1,NA,285.405958,2022
BETALL_GR_1_1,BETALL,GR,1,1,22.26134655,285.4292929,2019
ALNINC_GR_8_1,ALNINC,GR,8,1,21.3024619,285.4322475,2022
VIBCAS_WM_9B_2,VIBCAS,WM,9B,2,16.32697801,285.6356736,2019
DIELON_HF_3_1,DIELON,HF,3,1,26.05600431,285.6923077,2019
ALNINC_GR_1_1,ALNINC,GR,1,1,19.71491338,285.7448569,2019
MYRGAL_WM_6B_2,MYRGAL,WM,6B,2,23.27044025,285.7509628,2019
MYRGAL_GR_8D_1,MYRGAL,GR,8D,1,19.58728388,285.9193111,2019
ALNINC_GR_11B_1,ALNINC,GR,11B,1,21.72731654,286.1724138,2019
AROMEL_WM_15_2,AROMEL,WM,15,2,22.76628352,286.3307248,2019
BETALL_GR_12_1,BETALL,GR,12,1,20.41286944,286.3465975,2019
BETPOP_HF_5_1,BETPOP,HF,5,1,22.61246122,286.4336493,2019
BETPOP_HF_1_1,BETPOP,HF,1,1,23.00850915,286.5971805,2019
BETPOP_WM_7_2,BETPOP,WM,7,2,21.5099188,286.7036011,2019
MYRGAL_WM_6A_2,MYRGAL,WM,6A,2,23.19192964,287.0507871,2019
SPIALB_GR_9_1,SPIALB,GR,9,1,35.11139402,287.202925,2019
SPIALB_HF_1_1,SPIALB,HF,1,1,34.0765326,287.2686483,2019
BETPOP_HF_5_2,BETPOP,HF,5,2,20.40733434,287.3961912,2019
SPIALB_SH_1_2,SPIALB,SH,1,2,33.61332708,287.661987,2019
DIELON_HF_1A_2,DIELON,HF,1A,2,3.544329897,288.0169671,2022
BETPOP_HF_1_1,BETPOP,HF,1,1,20.65108514,288.3006294,2019
MYRGAL_WM_6A_1,MYRGAL,WM,6A,1,23.32200097,288.3753501,2019
ALNINC_GR_11A_2,ALNINC,GR,11A,2,23.18781638,288.5518102,2019
MYRGAL_SH_2_1,MYRGAL,SH,2,1,24.51676529,288.6148008,2019
VIBCAS_SH_5B_1,VIBCAS,SH,5B,1,16.61473809,288.7009804,2019
VIBCAS_WM_4_2,VIBCAS,WM,4,2,18.52396559,288.7458894,2022
SPIALB_WM_7B_2,SPIALB,WM,7B,2,32.61416589,288.7902032,2019
ALNINC_GR_11_1,ALNINC,GR,11,1,22.14823094,288.8130122,2019
VIBCAS_SH_5C_2,VIBCAS,SH,5C,2,19.0185567,289.2126657,2022
ALNINC_SH_5_2,ALNINC,SH,5,2,21.44341142,289.2143608,2019
SORAME_SH_3_1,SORAME,SH,3,1,24.47063524,289.3641618,2019
BETPAP_GR_5A_2,BETPAP,GR,5A,2,19.91008272,289.366869,2019
BETALL_WM_9_1,BETALL,WM,9,1,24.84216065,289.4416244,2019
SAMRAC_GR_4_2,SAMRAC,GR,4,2,17.60255591,289.4610291,2019
BETPOP_HF_1_2,BETPOP,HF,1,2,22.11784096,289.9208601,2019
SPIALB_SH_7_2,SPIALB,SH,7,2,35.56279406,290.2310924,2019
SPIALB_WM_7B_2,SPIALB,WM,7B,2,29.375,290.313779,2019
MYRGAL_WM_6B_2,MYRGAL,WM,6B,2,18.97454545,290.452049,2019
MYRGAL_SH_2_2,MYRGAL,SH,2,2,24.72653061,290.9738717,2019
BETPOP_WM_7_2,BETPOP,WM,7,2,20.40846672,291.1382735,2019
BETPOP_GR_5_1,BETPOP,GR,5,1,21.08651911,291.1881884,2019
SAMRAC_GR_4_1,SAMRAC,GR,4,1,21.87323347,291.5533581,2019
VIBCAS_WM_9A_2,VIBCAS,WM,9A,2,17.36051502,291.5770897,2019
ALNINC_WM_5A_2,ALNINC,WM,5A,2,18.79931171,291.6542751,2019
MYRGAL_SH_1A_1,MYRGAL,SH,1A,1,19.51897381,291.7511305,2019
BETALL_GR_1_2,BETALL,GR,1,2,21.87488455,291.9992808,2019
DIELON_WM_1B_2,DIELON,WM,1B,2,32.66455696,292.0748937,2022
VIBCAS_WM_9B_1,VIBCAS,WM,9B,1,17.67127434,292.359882,2019
BETPOP_GR_5A_2,BETPOP,GR,5A,2,20.38055794,292.4426975,2019
VIBCAS_SH_1B_1,VIBCAS,SH,1B,1,17.38807217,292.7139364,2019
VIBCAS_SH_5B_2,VIBCAS,SH,5B,2,16.62735974,292.7399381,2019
SPIALB_GR_3_1,SPIALB,GR,3,1,33.26831589,292.7576602,2019
MYRGAL_SH_2A_1,MYRGAL,SH,2A,1,21.22839794,292.8864569,2019
VIBCAS_SH_5_1,VIBCAS,SH,5,1,14.93288126,293.8234457,2019
DIELON_GR_5B_2,DIELON,GR,5B,2,21.99212857,294.3050193,2019
ALNINC_SH_1_2,ALNINC,SH,1,2,21.96788185,294.6743761,2019
MYRGAL_SH_1A_2,MYRGAL,SH,1A,2,21.59733777,294.7523296,2019
ALNINC_GR_11B_2,ALNINC,GR,11B,2,19.81086542,295.0977145,2019
BETPOP_GR_5B_2,BETPOP,GR,5B,2,23.5921578,295.2062626,2019
BETPOP_WM_7_1,BETPOP,WM,7,1,21.42541308,295.2250086,2019
BETALL_SH_5_1,BETALL,SH,5,1,19.30892449,295.5555556,2019
