Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC05_WM_B,2,"51-M,","60-M,",69-M,,,,,9,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100,100-m","100-m,101","100,100-m","100,100-m","100-m,100",100-m,100-m,"100-m,100","100-m,101","100-m,101","100-m,101","102,100-m",100-m,100-m,100-m,101-m,90,"100-m,90","102-m, 91",93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP16_HF,2,,,,,,,,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,102,,,,90,90,90,91,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP05_HF,2,,,,,,,,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,"101,90","102,92",93,93,94,94,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN12_HF,2,,,,rep,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP07_WM,2,,,,,,,,7,7,7,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,"102,90",90,90,90,94,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN05_WM,2,,,,,,,7,7,9,9,9,9,11,11,15,"65,17","67,19",67,67,69,,,,,,,,,,,,,,,,100,100,100,100,100,100,dead,,100,100,100,100,100,100,100,"100,92",100,100,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP05_GR,2,,,,,,,7,,9,9,9,9,9,11,17,17,17,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,101,,,,,,,,,,,92,92,92,92,92,92,95,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC09_HF,2,"51-M,","51-M,",69-M,,,,,7,,7,9,9,11,"69-F,15",17,"69-F,19",,,,,,71,78,78,78,78,78,78,78,78,79,79,79,79,79,"79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","81,100-m,100","85,100-m,100","88,100-m,101","100-m,88","100-m,88,102","100-m,88","100-,83","100-m,83","100-m,83","100-m,83","83,100-m","83,100-m",83.100-m,"83,100-m","83,100-m","83,100-m","83,100-m","83,101-m","83,101-m","83,102-m","88, 92","89,95","89,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP01_HF,2,,,,,,,7,,7,9,9,9,11,15,19,"65-F,19",,,,,,,,,,,71,72,74,74,76,76,77,77,78,79,79,79,79,79,79,"81,100","88,100","88,100","88,100","88,100","88,100","85,100","85,100","85,100","85,100","85,100","85,100","85,101","101,85","102,85",85,85,85,"85,90","86,90","89,94",94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN10_GR,2,,,,,,,9,9,9,9,9,11,"51,11","51,15","65,19","67,19",69,71,,78,78,78,79,79,79,79,79,79,79,,,,,100,100,100,100,101,,,,,,,,,,,,,,,,90,92,92,92,94,95,95,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
