sp,site,rep,ind,done,set,space,order,plotno
VIBCAS,GR,1,VIBCAS_GR_1,x,Shrub Sun,1,35,4
MYRGAL,GR,7,MYRGAL_GR_7,x,Shrub Sun,1,36,4
SPIALB,HF,8,SPIALB_HF_8,x,Shrub Sun,1,37,4
SPITOM,WM,7,SPITOM_WM_7,x,Shrub Sun,1,38,4
MYRGAL,HF,1,MYRGAL_HF_1,x,Shrub Sun,1,39,4
MYRGAL,SH,2,MYRGAL_SH_2,x,Shrub Sun,1,40,4
VIBCAS,SH,7,VIBCAS_SH_7,x,Shrub Sun,1,41,4
MYRGAL,GR,1,MYRGAL_GR_1,x,Shrub Sun,1,42,4
SPIALB,WM,7,SPIALB_WM_7,x,Shrub Sun,1,43,4
SPITOM,WM,3,SPITOM_WM_3,x,Shrub Sun,1,44,4
AROMEL,HF,1,AROMEL_HF_1,x,Shrub Sun,1,45,4
AROMEL,WM,4,AROMEL_WM_4,x,Shrub Sun,1,46,4
SPIALB,SH,8,SPIALB_SH_8,x,Shrub Sun,1,47,4
VIBCAS,GR,3,VIBCAS_GR_3,,Shrub Sun,1,48,4
BETPAP,GR,3,BETPAP_GR_3,x,Tree,1.5,62,5
BETALL,WM,7,BETALL_WM_7,x,Tree,1.5,63,5
BETALL,WM,1,BETALL_WM_1,x,Tree,1.5,64,5
ACEPEN,HF,8,ACEPEN_HF_8,x,Tree,3,65,5
BETPAP,SH,4,BETPAP_SH_4,x,Tree,1.5,66,5
AMECAN,GR,3,AMECAN_GR_3,x,Tree,1.5,67,5
ALNINC,GR,6,ALNINC_GR_6,x,Tree,3,68,5
AMECAN,WM,1,AMECAN_WM_1,x,Tree,1.5,69,5
AMECAN,HF,5,AMECAN_HF_5,x,Tree,1.5,70,5
AMECAN,SH,7,AMECAN_SH_7,x,Tree,1.5,71,5
ALNINC,GR,3,ALNINC_GR_3,x,Tree,3,72,5
ACEPEN,GR,3,ACEPEN_GR_3,x,Tree,3,73,5
AMECAN,GR,5,AMECAN_GR_5,x,Tree,1.5,74,5
ACEPEN,WM,5,ACEPEN_WM_5,x,Tree,3,75,5
BETPAP,WM,6,BETPAP_WM_6,x,Tree,1.5,76,5
BETPAP,HF,8,BETPAP_HF_8,x,Tree,1.5,77,5
AMECAN,HF,2,AMECAN_HF_2,x,Tree,1.5,78,5
ACEPEN,GR,6,ACEPEN_GR_6,x,Tree,3,79,5
BETPAP,WM,1,BETPAP_WM_1,x,Tree,1.5,80,5
BETALL,WM,8,BETALL_WM_8,x,Tree,1.5,81,5
ALNINC,SH,1,ALNINC_SH_1,x,Tree,3,82,5
BETALL,SH,3,BETALL_SH_3,x,Tree,1.5,83,6
BETPOP,GR,4,BETPOP_GR_4,x,Tree,1.5,84,6
BETPOP,SH,6,BETPOP_SH_6,x,Tree,1.5,85,6
AMECAN,SH,6,AMECAN_SH_6,x,Tree,1.5,86,6
BETPAP,GR,8,BETPAP_GR_8,x,Tree,1.5,87,6
BETPOP,SH,7,BETPOP_SH_7,x,Tree,1.5,88,6
BETPOP,HF,3,BETPOP_HF_3,x,Tree,1.5,89,6
AMECAN,HF,3,AMECAN_HF_3,x,Tree,1.5,91,6
BETALL,SH,6,BETALL_SH_6,x,Tree,1.5,92,6
BETPAP,HF,1,BETPAP_HF_1,x,Tree,1.5,93,6
BETPOP,HF,8,BETPOP_HF_8,x,Tree,1.5,94,6
ALNINC,HF,5,ALNINC_HF_5,x,Tree,3,95,6
AMECAN,WM,5,AMECAN_WM_5,x,Tree,1.5,96,6
BETALL,HF,9,BETALL_HF_9,x,Tree,1.5,97,6
ACEPEN,HF,4,ACEPEN_HF_4,x,Tree,3,98,6
ACEPEN,SH,5,ACEPEN_SH_5,x,Tree,3,99,6
AMECAN,SH,5,AMECAN_SH_5,x,Tree,1.5,100,6
BETPAP,HF,5,BETPAP_HF_5,x,Tree,1.5,101,6
AMECAN,GR,1,AMECAN_GR_1,x,Tree,1.5,102,6
BETPAP,WM,2,BETPAP_WM_2,x,Tree,1.5,103,6
BETPAP,WM,4,BETPAP_WM_4,x,Tree,1.5,104,6
BETPOP,WM,3,BETPOP_WM_3,x,Tree,1.5,105,6
ACEPEN,WM,6,ACEPEN_WM_6,,Tree,3,106,6
SAMRAC,SH,8,SAMRAC_SH_8,x,Shrub Shade,0.75,1,7
ACESPI,GR,4,ACESPI_GR_4,x,Shrub Shade,1.5,2,7
SORAME,HF,9,SORAME_HF_9,x,Shrub Shade,1.5,3,7
SORAME,WM,9,SORAME_WM_9,x,Shrub Shade,1.5,4,7
SORAME,GR,1,SORAME_GR_1,x,Shrub Shade,1.5,5,7
SAMRAC,WM,8,SAMRAC_WM_8,x,Shrub Shade,0.75,6,7
SAMRAC,SH,6,SAMRAC_SH_6,x,Shrub Shade,0.75,7,7
SAMRAC,WM,9,SAMRAC_WM_9,x,Shrub Shade,0.75,8,7
ACESPI,HF,1,ACESPI_HF_1,x,Shrub Shade,1.5,9,7
ACESPI,GR,7,ACESPI_GR_7,x,Shrub Shade,1.5,10,7
ACESPI,HF,8,ACESPI_HF_8,x,Shrub Shade,1.5,11,7
DIELON,WM,5,DIELON_WM_5,x,Shrub Shade,1.5,12,7
DIELON,GR,6,DIELON_GR_6,x,Shrub Shade,1.5,13,7
SORAME,GR,5,SORAME_GR_5,x,Shrub Shade,1.5,14,7
ACESPI,HF,3,ACESPI_HF_3,x,Shrub Shade,1.5,15,7
DIELON,WM,1,DIELON_WM_1,x,Shrub Shade,1.5,16,7
SORAME,SH,4,SORAME_SH_4,x,Shrub Shade,1.5,17,7
SORAME,HF,3,SORAME_HF_3,x,Shrub Shade,1.5,18,7
SORAME,GR,9,SORAME_GR_9,x,Shrub Shade,1.5,19,7
DIELON,SH,7,DIELON_SH_7,x,Shrub Shade,1.5,20,7
DIELON,HF,4,DIELON_HF_4,x,Shrub Shade,1.5,21,7
SORAME,WM,2,SORAME_WM_2,x,Shrub Shade,1.5,22,7
DIELON,GR,1,DIELON_GR_1,x,Shrub Shade,1.5,23,7
SORAME,GR,2,SORAME_GR_2,x,Shrub Shade,1.5,24,7
SAMRAC,SH,9,SAMRAC_SH_9,x,Shrub Shade,0.75,25,7
DIELON,GR,4,DIELON_GR_4,x,Shrub Shade,1.5,26,7
DIELON,WM,7,DIELON_WM_7,x,Shrub Shade,1.5,27,7
DIELON,HF,5,DIELON_HF_5,x,Shrub Shade,1.5,28,7
ACESPI,GR,8,ACESPI_GR_8,x,Shrub Shade,1.5,29,7
SAMRAC,GR,9,SAMRAC_GR_9,x,Shrub Shade,0.75,30,7
ACESPI,SH,5,ACESPI_SH_5,x,Shrub Shade,1.5,31,7
SAMRAC,WM,7,SAMRAC_WM_7,x,Shrub Shade,0.75,32,7
SAMRAC,GR,7,SAMRAC_GR_7,x,Shrub Shade,0.75,33,7
ACESPI,WM,5,ACESPI_WM_5,x,Shrub Shade,1.5,34,7
ACESPI,HF,4,ACESPI_HF_4,x,Shrub Shade,1.5,35,7
SORAME,WM,5,SORAME_WM_5,x,Shrub Shade,1.5,36,7
SAMRAC,GR,6,SAMRAC_GR_6,x,Shrub Shade,0.75,37,7
VIBCAS,HF,3,VIBCAS_HF_3,x,Shrub Sun,1,49,8
SPITOM,GR,3,SPITOM_GR_3,x,Shrub Sun,1,50,8
SPITOM,GR,6,SPITOM_GR_6,x,Shrub Sun,1,51,8
AROMEL,HF,4,AROMEL_HF_4,x,Shrub Sun,1,52,8
MYRGAL,HF,9,MYRGAL_HF_9,x,Shrub Sun,1,53,8
VIBCAS,SH,4,VIBCAS_SH_4,x,Shrub Sun,1,54,8
MYRGAL,WM,4,MYRGAL_WM_4,x,Shrub Sun,1,55,8
VIBCAS,WM,3,VIBCAS_WM_3,x,Shrub Sun,1,56,8
MYRGAL,SH,1,MYRGAL_SH_1,x,Shrub Sun,1,57,8
VIBCAS,SH,8,VIBCAS_SH_8,x,Shrub Sun,1,58,8
AROMEL,HF,9,AROMEL_HF_9,x,Shrub Sun,1,59,8
AROMEL,WM,9,AROMEL_WM_9,x,Shrub Sun,1,60,8
SPIALB,WM,8,SPIALB_WM_8,x,Shrub Sun,1,61,8
VIBCAS,GR,8,VIBCAS_GR_8,x,Shrub Sun,1,62,8
AROMEL,GR,4,AROMEL_GR_4,x,Shrub Sun,1,63,8
AROMEL,SH,6,AROMEL_SH_6,x,Shrub Sun,1,64,8
SPITOM,WM,1,SPITOM_WM_1,x,Shrub Sun,1,65,8
SPITOM,HF,6,SPITOM_HF_6,x,Shrub Sun,1,66,8
SPIALB,GR,3,SPIALB_GR_3,x,Shrub Sun,1,67,8
VIBCAS,SH,6,VIBCAS_SH_6,x,Shrub Sun,1,68,8
MYRGAL,HF,7,MYRGAL_HF_7,x,Shrub Sun,1,69,8
SPITOM,HF,4,SPITOM_HF_4,x,Shrub Sun,1,70,8
SPITOM,HF,8,SPITOM_HF_8,x,Shrub Sun,1,71,8
SPIALB,WM,1,SPIALB_WM_1,x,Shrub Sun,1,72,8
AROMEL,SH,1,AROMEL_SH_1,x,Shrub Sun,1,73,8
AROMEL,SH,7,AROMEL_SH_7,x,Shrub Sun,1,74,8
AROMEL,SH,8,AROMEL_SH_8,x,Shrub Sun,1,75,8
SPIALB,GR,8,SPIALB_GR_8,x,Shrub Sun,1,76,8
SPIALB,GR,5,SPIALB_GR_5,x,Shrub Sun,1,77,8
MYRGAL,SH,7,MYRGAL_SH_7,x,Shrub Sun,1,78,8
VIBCAS,GR,2,VIBCAS_GR_2,x,Shrub Sun,1,79,8
AROMEL,GR,2,AROMEL_GR_2,x,Shrub Sun,1,80,8
SPITOM,HF,1,SPITOM_HF_1,x,Shrub Sun,1,81,8
SPIALB,HF,6,SPIALB_HF_6,x,Shrub Sun,1,83,8
SPIALB,SH,6,SPIALB_SH_6,x,Shrub Sun,1,84,8
VIBCAS,WM,9,VIBCAS_WM_9,x,Shrub Sun,1,85,8
VIBCAS,HF,4,VIBCAS_HF_4,x,Shrub Sun,1,86,8
SPITOM,GR,8,SPITOM_GR_8,x,Shrub Sun,1,87,8
VIBCAS,SH,2,VIBCAS_SH_2,x,Shrub Sun,1,88,8
AROMEL,GR,5,AROMEL_GR_5,x,Shrub Sun,1,89,8
VIBCAS,WM,6,VIBCAS_WM_6,x,Shrub Sun,1,90,8
SPIALB,HF,7,SPIALB_HF_7,x,Shrub Sun,1,91,8
SPIALB,SH,3,SPIALB_SH_3,x,Shrub Sun,1,93,8
MYRGAL,GR,5,MYRGAL_GR_5,x,Shrub Sun,1,94,8
MYRGAL,WM,2,MYRGAL_WM_2,x,Shrub Sun,1,96,8
AROMEL,GR,6,AROMEL_GR_6,x,Shrub Sun,1,97,8
ALNINC,SH,2,ALNINC_SH_2,x,Tree,3,108,9
BETALL,WM,5,BETALL_WM_5,x,Tree,1.5,112,9
BETALL,SH,5,BETALL_SH_5,x,Tree,1.5,113,9
BETALL,HF,6,BETALL_HF_6,x,Tree,1.5,115,9
BETALL,WM,9,BETALL_WM_9,x,Tree,1.5,116,9
ACEPEN,WM,7,ACEPEN_WM_7,x,Tree,3,117,9
BETPAP,SH,9,BETPAP_SH_9,x,Tree,1.5,118,9
ALNINC,HF,3,ALNINC_HF_3,x,Tree,3,119,9
BETALL,SH,7,BETALL_SH_7,x,Tree,1.5,120,9
ACEPEN,WM,3,ACEPEN_WM_3,x,Tree,3,122,9
BETPOP,HF,1,BETPOP_HF_1,x,Tree,1.5,123,9
BETALL,SH,8,BETALL_SH_8,x,Tree,1.5,124,9
ACEPEN,SH,6,ACEPEN_SH_6,,Tree,3,125,9
BETPOP,WM,1,BETPOP_WM_1,x,Tree,1.5,126,9
SORAME,WM,4,SORAME_WM_4,x,Shrub Shade,1.5,38,10
ACESPI,GR,9,ACESPI_GR_9,x,Shrub Shade,1.5,39,10
SAMRAC,WM,5,SAMRAC_WM_5,x,Shrub Shade,0.75,40,10
SAMRAC,HF,9,SAMRAC_HF_9,x,Shrub Shade,0.75,41,10
SAMRAC,WM,4,SAMRAC_WM_4,x,Shrub Shade,0.75,42,10
ACESPI,SH,2,ACESPI_SH_2,x,Shrub Shade,1.5,43,10
SAMRAC,HF,2,SAMRAC_HF_2,x,Shrub Shade,0.75,44,10
SAMRAC,GR,1,SAMRAC_GR_1,x,Shrub Shade,0.75,45,10
ACESPI,SH,8,ACESPI_SH_8,x,Shrub Shade,1.5,46,10
ACESPI,WM,4,ACESPI_WM_4,x,Shrub Shade,1.5,47,10
ACESPI,HF,2,ACESPI_HF_2,x,Shrub Shade,1.5,48,10
SORAME,GR,8,SORAME_GR_8,x,Shrub Shade,1.5,49,10
DIELON,HF,2,DIELON_HF_2,x,Shrub Shade,1.5,50,10
DIELON,WM,6,DIELON_WM_6,x,Shrub Shade,1.5,51,10
DIELON,WM,3,DIELON_WM_3,x,Shrub Shade,1.5,52,10
ACESPI,SH,3,ACESPI_SH_3,x,Shrub Shade,1.5,53,10
SORAME,SH,7,SORAME_SH_7,x,Shrub Shade,1.5,54,10
SAMRAC,GR,5,SAMRAC_GR_5,x,Shrub Shade,0.75,55,10
DIELON,SH,5,DIELON_SH_5,x,Shrub Shade,1.5,56,10
SORAME,SH,1,SORAME_SH_1,x,Shrub Shade,1.5,57,10
SORAME,HF,4,SORAME_HF_4,x,Shrub Shade,1.5,58,10
SAMRAC,SH,2,SAMRAC_SH_2,x,Shrub Shade,0.75,59,10
ACESPI,SH,4,ACESPI_SH_4,x,Shrub Shade,1.5,60,10
ACESPI,HF,5,ACESPI_HF_5,x,Shrub Shade,1.5,61,10
SORAME,SH,3,SORAME_SH_3,x,Shrub Shade,1.5,62,10
DIELON,WM,9,DIELON_WM_9,x,Shrub Shade,1.5,63,10
SAMRAC,GR,4,SAMRAC_GR_4,x,Shrub Shade,0.75,64,10
SORAME,HF,2,SORAME_HF_2,x,Shrub Shade,1.5,65,10
DIELON,SH,6,DIELON_SH_6,x,Shrub Shade,1.5,66,10
SAMRAC,SH,4,SAMRAC_SH_4,x,Shrub Shade,0.75,67,10
ACESPI,SH,6,ACESPI_SH_6,x,Shrub Shade,1.5,68,10
DIELON,GR,2,DIELON_GR_2,x,Shrub Shade,1.5,69,10
DIELON,GR,8,DIELON_GR_8,x,Shrub Shade,1.5,70,10
SORAME,HF,1,SORAME_HF_1,x,Shrub Shade,1.5,71,10
SORAME,GR,6,SORAME_GR_6,x,Shrub Shade,1.5,72,10
DIELON,SH,4,DIELON_SH_4,x,Shrub Shade,1.5,76,10
SAMRAC,WM,3,SAMRAC_WM_3,x,Shrub Shade,0.75,80,10
SPITOM,SH,5,SPITOM_SH_5,x,Shrub Sun,1,98,11
MYRGAL,WM,9,MYRGAL_WM_9,x,Shrub Sun,1,99,11
SPITOM,GR,7,SPITOM_GR_7,x,Shrub Sun,1,100,11
SPIALB,HF,4,SPIALB_HF_4,x,Shrub Sun,1,101,11
VIBCAS,WM,5,VIBCAS_WM_5,x,Shrub Sun,1,102,11
AROMEL,HF,5,AROMEL_HF_5,x,Shrub Sun,1,104,11
MYRGAL,WM,5,MYRGAL_WM_5,x,Shrub Sun,1,105,11
SPITOM,SH,4,SPITOM_SH_4,x,Shrub Sun,1,106,11
AROMEL,SH,9,AROMEL_SH_9,x,Shrub Sun,1,107,11
MYRGAL,GR,8,MYRGAL_GR_8,x,Shrub Sun,1,109,11
AROMEL,GR,8,AROMEL_GR_8,x,Shrub Sun,1,111,11
SPITOM,SH,8,SPITOM_SH_8,x,Shrub Sun,1,112,11
SPIALB,WM,5,SPIALB_WM_5,x,Shrub Sun,1,115,11
VIBCAS,WM,8,VIBCAS_WM_8,x,Shrub Sun,1,116,11
SPITOM,SH,3,SPITOM_SH_3,x,Shrub Sun,1,117,11
VIBCAS,HF,5,VIBCAS_HF_5,x,Shrub Sun,1,120,11
AROMEL,GR,7,AROMEL_GR_7,x,Shrub Sun,1,121,11
AROMEL,WM,8,AROMEL_WM_8,x,Shrub Sun,1,124,11
VIBCAS,HF,6,VIBCAS_HF_6,x,Shrub Sun,1,128,11
SPITOM,GR,4,SPITOM_GR_4,x,Shrub Sun,1,130,11
SPITOM,GR,1,SPITOM_GR_1,x,Shrub Sun,1,131,11
AROMEL,HF,3,AROMEL_HF_3,x,Shrub Sun,1,142,11
SPITOM,HF,7,SPITOM_HF_7,x,Shrub Sun,1,143,11
AROMEL,HF,8,AROMEL_HF_8,x,Shrub Sun,1,147,11
VIBCAS,HF,7,VIBCAS_HF_7,x,Shrub Sun,1,153,11
SPITOM,HF,5,SPITOM_HF_5,x,Shrub Sun,1,161,11
ALNINC,SH,9,ALNINC_SH_9,x,Tree,3,128,12
ACEPEN,WM,1,ACEPEN_WM_1,x,Tree,3,129,12
ACEPEN,HF,1,ACEPEN_HF_1,x,Tree,3,130,12
ACEPEN,GR,9,ACEPEN_GR_9,x,Tree,3,134,12
BETPAP,HF,2,BETPAP_HF_2,x,Tree,1.5,135,12
BETPOP,GR,8,BETPOP_GR_8,x,Tree,1.5,136,12
ALNINC,HF,8,ALNINC_HF_8,x,Tree,3,138,12
BETPOP,GR,3,BETPOP_GR_3,x,Tree,1.5,139,12
BETALL,HF,1,BETALL_HF_1,x,Tree,1.5,143,12
BETALL,HF,3,BETALL_HF_3,x,Tree,1.5,145,12
BETPAP,SH,6,BETPAP_SH_6,x,Tree,1.5,146,12
BETPOP,SH,9,BETPOP_SH_9,x,Tree,1.5,148,12
AMECAN,SH,1,AMECAN_SH_1,x,Tree,1.5,150,12
SAMRAC,HF,1,SAMRAC_HF_1,x,Shrub Shade,0.75,78,13
ACESPI,WM,9,ACESPI_WM_9,x,Shrub Shade,1.5,79,13
SORAME,HF,5,SORAME_HF_5,x,Shrub Shade,1.5,81,13
ACESPI,WM,6,ACESPI_WM_6,x,Shrub Shade,1.5,84,13
DIELON,HF,7,DIELON_HF_7,x,Shrub Shade,1.5,85,13
ACESPI,GR,5,ACESPI_GR_5,x,Shrub Shade,1.5,86,13
SORAME,SH,2,SORAME_SH_2,x,Shrub Shade,1.5,87,13
SORAME,SH,9,SORAME_SH_9,x,Shrub Shade,1.5,88,13
DIELON,GR,7,DIELON_GR_7,x,Shrub Shade,1.5,89,13
ACESPI,GR,1,ACESPI_GR_1,x,Shrub Shade,1.5,90,13
SAMRAC,SH,5,SAMRAC_SH_5,x,Shrub Shade,0.75,91,13
DIELON,HF,6,DIELON_HF_6,x,Shrub Shade,1.5,92,13
DIELON,HF,8,DIELON_HF_8,x,Shrub Shade,1.5,93,13
ACESPI,WM,3,ACESPI_WM_3,x,Shrub Shade,1.5,96,13
SORAME,WM,7,SORAME_WM_7,x,Shrub Shade,1.5,99,13
DIELON,SH,8,DIELON_SH_8,x,Shrub Shade,1.5,105,13
SAMRAC,HF,3,SAMRAC_HF_3,x,Shrub Shade,0.75,107,13
SORAME,WM,8,SORAME_WM_8,x,Shrub Shade,1.5,113,13
SAMRAC,HF,4,SAMRAC_HF_4,x,Shrub Shade,0.75,73,13
SAMRAC,HF,6,SAMRAC_HF_6,x,Shrub Shade,0.75,74,13
DIELON,SH,9,DIELON_SH_9,x,Shrub Shade,1.5,116,13
ACESPI,WM,2,ACESPI_WM_2,x,Shrub Shade,1.5,120,13
BETALL,HF,5,BETALL_HF_5,x,Tree,1.5,153,15
ALNINC,SH,7,ALNINC_SH_7,x,Tree,3,154,15
BETPOP,SH,3,BETPOP_SH_3,x,Tree,1.5,155,15
BETALL,HF,2,BETALL_HF_2,x,Tree,1.5,156,15
AMECAN,SH,2,AMECAN_SH_2,x,Tree,1.5,157,15
AMECAN,SH,4,AMECAN_SH_4,x,Tree,1.5,159,15
ACEPEN,GR,8,ACEPEN_GR_8,x,Tree,3,164,15
ACEPEN,GR,1,ACEPEN_GR_1,x,Tree,3,170,15
ACEPEN,GR,7,ACEPEN_GR_7,x,Tree,3,173,15
ALNINC,HF,4,ALNINC_HF_4,x,Tree,3,174,15
BETPOP,WM,2,BETPOP_WM_2,x,Tree,1.5,194,15
BETPOP,SH,5,BETPOP_SH_5,x,Tree,1.5,215,15
