"sp","site","rep","ind","set","space","order","plotno"
"BETPAP","WM","3","BETPAP_WM_3","Tree",1.5,209,18
"BETPOP","WM","8","BETPOP_WM_8","Tree",1.5,210,18
"AMECAN","SH","3","AMECAN_SH_3","Tree",1.5,211,18
"BETPOP","WM","6","BETPOP_WM_6","Tree",1.5,212,18
"AMECAN","HF","4","AMECAN_HF_4","Tree",1.5,213,18
"BETPOP","SH","4","BETPOP_SH_4","Tree",1.5,214,18
"BETPOP","SH","5","BETPOP_SH_5","Tree",1.5,215,18
"ALNINC","HF","2","ALNINC_HF_2","Tree",3,216,18
"VACMYR","SH","8","VACMYR_SH_8","Shrub Shade",0.75,1,7
"ACESPI","GR","4","ACESPI_GR_4","Shrub Shade",1.5,2,7
"SORAME","HF","9","SORAME_HF_9","Shrub Shade",1.5,3,7
"SORAME","WM","9","SORAME_WM_9","Shrub Shade",1.5,4,7
"SORAME","GR","1","SORAME_GR_1","Shrub Shade",1.5,5,7
"VACMYR","WM","8","VACMYR_WM_8","Shrub Shade",0.75,6,7
"VACMYR","SH","6","VACMYR_SH_6","Shrub Shade",0.75,7,7
"VACMYR","WM","9","VACMYR_WM_9","Shrub Shade",0.75,8,7
"ACESPI","HF","1","ACESPI_HF_1","Shrub Shade",1.5,9,7
"ACESPI","GR","7","ACESPI_GR_7","Shrub Shade",1.5,10,7
"ACESPI","HF","8","ACESPI_HF_8","Shrub Shade",1.5,11,7
"DIELON","WM","5","DIELON_WM_5","Shrub Shade",1.5,12,7
"DIELON","GR","6","DIELON_GR_6","Shrub Shade",1.5,13,7
"SORAME","GR","5","SORAME_GR_5","Shrub Shade",1.5,14,7
"ACESPI","HF","3","ACESPI_HF_3","Shrub Shade",1.5,15,7
"DIELON","WM","1","DIELON_WM_1","Shrub Shade",1.5,16,7
"SORAME","SH","4","SORAME_SH_4","Shrub Shade",1.5,17,7
"SORAME","HF","3","SORAME_HF_3","Shrub Shade",1.5,18,7
"SORAME","GR","9","SORAME_GR_9","Shrub Shade",1.5,19,7
"DIELON","SH","7","DIELON_SH_7","Shrub Shade",1.5,20,7
"DIELON","HF","4","DIELON_HF_4","Shrub Shade",1.5,21,7
"SORAME","WM","2","SORAME_WM_2","Shrub Shade",1.5,22,7
"DIELON","GR","1","DIELON_GR_1","Shrub Shade",1.5,23,7
"SORAME","GR","2","SORAME_GR_2","Shrub Shade",1.5,24,7
"VACMYR","SH","9","VACMYR_SH_9","Shrub Shade",0.75,25,7
"DIELON","GR","4","DIELON_GR_4","Shrub Shade",1.5,26,7
"DIELON","WM","7","DIELON_WM_7","Shrub Shade",1.5,27,7
"DIELON","HF","5","DIELON_HF_5","Shrub Shade",1.5,28,7
"ACESPI","GR","8","ACESPI_GR_8","Shrub Shade",1.5,29,7
"VACMYR","GR","9","VACMYR_GR_9","Shrub Shade",0.75,30,7
"ACESPI","SH","5","ACESPI_SH_5","Shrub Shade",1.5,31,7
"VACMYR","WM","7","VACMYR_WM_7","Shrub Shade",0.75,32,7
"VACMYR","GR","7","VACMYR_GR_7","Shrub Shade",0.75,33,7
"ACESPI","WM","5","ACESPI_WM_5","Shrub Shade",1.5,34,7
"ACESPI","HF","4","ACESPI_HF_4","Shrub Shade",1.5,35,7
"SORAME","WM","5","SORAME_WM_5","Shrub Shade",1.5,36,7
"VACMYR","GR","6","VACMYR_GR_6","Shrub Shade",0.75,37,7
"SORAME","WM","4","SORAME_WM_4","Shrub Shade",1.5,38,10
"ACESPI","GR","9","ACESPI_GR_9","Shrub Shade",1.5,39,10
"VACMYR","WM","5","VACMYR_WM_5","Shrub Shade",0.75,40,10
"VACMYR","HF","9","VACMYR_HF_9","Shrub Shade",0.75,41,10
"VACMYR","WM","4","VACMYR_WM_4","Shrub Shade",0.75,42,10
"ACESPI","SH","2","ACESPI_SH_2","Shrub Shade",1.5,43,10
"VACMYR","HF","2","VACMYR_HF_2","Shrub Shade",0.75,44,10
"VACMYR","GR","1","VACMYR_GR_1","Shrub Shade",0.75,45,10
"ACESPI","SH","8","ACESPI_SH_8","Shrub Shade",1.5,46,10
"ACESPI","WM","4","ACESPI_WM_4","Shrub Shade",1.5,47,10
"ACESPI","HF","2","ACESPI_HF_2","Shrub Shade",1.5,48,10
"SORAME","GR","8","SORAME_GR_8","Shrub Shade",1.5,49,10
"DIELON","HF","2","DIELON_HF_2","Shrub Shade",1.5,50,10
"DIELON","WM","6","DIELON_WM_6","Shrub Shade",1.5,51,10
"DIELON","WM","3","DIELON_WM_3","Shrub Shade",1.5,52,10
"ACESPI","SH","3","ACESPI_SH_3","Shrub Shade",1.5,53,10
"SORAME","SH","7","SORAME_SH_7","Shrub Shade",1.5,54,10
"VACMYR","GR","5","VACMYR_GR_5","Shrub Shade",0.75,55,10
"DIELON","SH","5","DIELON_SH_5","Shrub Shade",1.5,56,10
"SORAME","SH","1","SORAME_SH_1","Shrub Shade",1.5,57,10
"SORAME","HF","4","SORAME_HF_4","Shrub Shade",1.5,58,10
"VACMYR","SH","2","VACMYR_SH_2","Shrub Shade",0.75,59,10
"ACESPI","SH","4","ACESPI_SH_4","Shrub Shade",1.5,60,10
"ACESPI","HF","5","ACESPI_HF_5","Shrub Shade",1.5,61,10
"SORAME","SH","3","SORAME_SH_3","Shrub Shade",1.5,62,10
"DIELON","WM","9","DIELON_WM_9","Shrub Shade",1.5,63,10
"VACMYR","GR","4","VACMYR_GR_4","Shrub Shade",0.75,64,10
"SORAME","HF","2","SORAME_HF_2","Shrub Shade",1.5,65,10
"DIELON","SH","6","DIELON_SH_6","Shrub Shade",1.5,66,10
"VACMYR","SH","4","VACMYR_SH_4","Shrub Shade",0.75,67,10
"ACESPI","SH","6","ACESPI_SH_6","Shrub Shade",1.5,68,10
"DIELON","GR","2","DIELON_GR_2","Shrub Shade",1.5,69,10
"DIELON","GR","8","DIELON_GR_8","Shrub Shade",1.5,70,10
"SORAME","HF","1","SORAME_HF_1","Shrub Shade",1.5,71,10
"SORAME","GR","6","SORAME_GR_6","Shrub Shade",1.5,72,10
"VACMYR","HF","4","VACMYR_HF_4","Shrub Shade",0.75,73,10
"VACMYR","HF","6","VACMYR_HF_6","Shrub Shade",0.75,74,10
"SORAME","GR","4","SORAME_GR_4","Shrub Shade",1.5,75,10
"DIELON","SH","4","DIELON_SH_4","Shrub Shade",1.5,76,10
"ACESPI","HF","7","ACESPI_HF_7","Shrub Shade",1.5,77,13
"VACMYR","HF","1","VACMYR_HF_1","Shrub Shade",0.75,78,13
"ACESPI","WM","9","ACESPI_WM_9","Shrub Shade",1.5,79,13
"VACMYR","WM","3","VACMYR_WM_3","Shrub Shade",0.75,80,13
"SORAME","HF","5","SORAME_HF_5","Shrub Shade",1.5,81,13
"SORAME","GR","3","SORAME_GR_3","Shrub Shade",1.5,82,13
"VACMYR","GR","3","VACMYR_GR_3","Shrub Shade",0.75,83,13
"ACESPI","WM","6","ACESPI_WM_6","Shrub Shade",1.5,84,13
"DIELON","HF","7","DIELON_HF_7","Shrub Shade",1.5,85,13
"ACESPI","GR","5","ACESPI_GR_5","Shrub Shade",1.5,86,13
"SORAME","SH","2","SORAME_SH_2","Shrub Shade",1.5,87,13
"SORAME","SH","9","SORAME_SH_9","Shrub Shade",1.5,88,13
"DIELON","GR","7","DIELON_GR_7","Shrub Shade",1.5,89,13
"ACESPI","GR","1","ACESPI_GR_1","Shrub Shade",1.5,90,13
"VACMYR","SH","5","VACMYR_SH_5","Shrub Shade",0.75,91,13
"DIELON","HF","6","DIELON_HF_6","Shrub Shade",1.5,92,13
"DIELON","HF","8","DIELON_HF_8","Shrub Shade",1.5,93,13
"DIELON","WM","4","DIELON_WM_4","Shrub Shade",1.5,94,13
"DIELON","GR","9","DIELON_GR_9","Shrub Shade",1.5,95,13
"ACESPI","WM","3","ACESPI_WM_3","Shrub Shade",1.5,96,13
"SORAME","GR","7","SORAME_GR_7","Shrub Shade",1.5,97,13
"DIELON","WM","2","DIELON_WM_2","Shrub Shade",1.5,98,13
"SORAME","WM","7","SORAME_WM_7","Shrub Shade",1.5,99,13
"DIELON","HF","1","DIELON_HF_1","Shrub Shade",1.5,100,13
"SORAME","SH","5","SORAME_SH_5","Shrub Shade",1.5,101,13
"VACMYR","GR","2","VACMYR_GR_2","Shrub Shade",0.75,102,13
"SORAME","HF","6","SORAME_HF_6","Shrub Shade",1.5,103,13
"SORAME","HF","7","SORAME_HF_7","Shrub Shade",1.5,104,13
"DIELON","SH","8","DIELON_SH_8","Shrub Shade",1.5,105,13
"ACESPI","SH","7","ACESPI_SH_7","Shrub Shade",1.5,106,13
"VACMYR","HF","3","VACMYR_HF_3","Shrub Shade",0.75,107,13
"SORAME","HF","8","SORAME_HF_8","Shrub Shade",1.5,108,13
"VACMYR","SH","3","VACMYR_SH_3","Shrub Shade",0.75,109,13
"VACMYR","WM","2","VACMYR_WM_2","Shrub Shade",0.75,110,13
"ACESPI","GR","3","ACESPI_GR_3","Shrub Shade",1.5,111,13
"VACMYR","HF","5","VACMYR_HF_5","Shrub Shade",0.75,112,13
"SORAME","WM","8","SORAME_WM_8","Shrub Shade",1.5,113,13
"DIELON","HF","3","DIELON_HF_3","Shrub Shade",1.5,114,13
"VACMYR","SH","7","VACMYR_SH_7","Shrub Shade",0.75,115,23
"DIELON","SH","9","DIELON_SH_9","Shrub Shade",1.5,116,23
"DIELON","WM","8","DIELON_WM_8","Shrub Shade",1.5,117,23
"ACESPI","SH","9","ACESPI_SH_9","Shrub Shade",1.5,118,23
"VACMYR","GR","8","VACMYR_GR_8","Shrub Shade",0.75,119,23
"ACESPI","WM","2","ACESPI_WM_2","Shrub Shade",1.5,120,23
"ACESPI","SH","1","ACESPI_SH_1","Shrub Shade",1.5,121,23
"DIELON","GR","5","DIELON_GR_5","Shrub Shade",1.5,122,23
"DIELON","SH","1","DIELON_SH_1","Shrub Shade",1.5,123,23
"SORAME","WM","6","SORAME_WM_6","Shrub Shade",1.5,124,23
"VACMYR","WM","1","VACMYR_WM_1","Shrub Shade",0.75,125,23
"ACESPI","WM","7","ACESPI_WM_7","Shrub Shade",1.5,126,23
"DIELON","GR","3","DIELON_GR_3","Shrub Shade",1.5,127,23
"VACMYR","SH","1","VACMYR_SH_1","Shrub Shade",0.75,128,23
"SORAME","WM","3","SORAME_WM_3","Shrub Shade",1.5,129,23
"ACESPI","GR","2","ACESPI_GR_2","Shrub Shade",1.5,130,23
"SORAME","WM","1","SORAME_WM_1","Shrub Shade",1.5,131,23
"VACMYR","WM","6","VACMYR_WM_6","Shrub Shade",0.75,132,23
"VACMYR","HF","7","VACMYR_HF_7","Shrub Shade",0.75,133,23
"DIELON","SH","3","DIELON_SH_3","Shrub Shade",1.5,134,23
"VACMYR","HF","8","VACMYR_HF_8","Shrub Shade",0.75,135,23
"ACESPI","HF","6","ACESPI_HF_6","Shrub Shade",1.5,136,23
"ACESPI","HF","9","ACESPI_HF_9","Shrub Shade",1.5,137,23
"ACESPI","WM","1","ACESPI_WM_1","Shrub Shade",1.5,138,23
"ACESPI","GR","6","ACESPI_GR_6","Shrub Shade",1.5,139,23
"DIELON","SH","2","DIELON_SH_2","Shrub Shade",1.5,140,23
"DIELON","HF","9","DIELON_HF_9","Shrub Shade",1.5,141,23
"SORAME","SH","8","SORAME_SH_8","Shrub Shade",1.5,142,23
"ACESPI","WM","8","ACESPI_WM_8","Shrub Shade",1.5,143,23
"SORAME","SH","6","SORAME_SH_6","Shrub Shade",1.5,144,23
