"Species","Plot","Location","GH","site"
"SORAME_WM",10,"none","","WM"
"ACESPI_GR",10,"none","","GR"
"SAMRAC_WM",10,"none","","WM"
"SAMRAC_HF",10,"CG","","HF"
"ACESPI_SH",10,"none","","SH"
"ACESPI_SH",10,"none","","SH"
"SAMRAC_WM",10,"none","","WM"
"ACESPI_WM",10,"none","","WM"
"ACESPI_HF",10,"none","","HF"
"SAMRAC_SH",10,"none","","SH"
"SORAME_GR_9",10,"CG","","GR"
"DIELON_HF_1",10,"CG","","HF"
"DIELON_WM",10,"none","","WM"
"SAMRAC_GR_7",10,"CG","","GR"
"DIELON_WM",10,"none","","WM"
"ACESPI_SH_9",10,"CG","","SH"
"SORAME_SH_3",10,"CG","","SH"
"SAMRAC_HF",10,"CG","","HF"
"DIELON_SH_4",10,"CG","","SH"
"SORAME_SH_3",10,"CG","","SH"
"SORAME_HF",10,"none","","HF"
"SAMRAC_GR_9",10,"CG","yes","GR"
"ACESPI_SH",10,"none","","SH"
"ACESPI_HF",10,"none","","HF"
"SORAME_SH_3",10,"CG","","SH"
"SAMRAC_SH",10,"none","","SH"
"DIELON_WM",10,"none","","WM"
"SAMRAC_GR_4",10,"none","maybe","GR"
"SORAME_HF",10,"none","","HF"
"DIELON_SH_4",10,"CG","","SH"
"ACESPI_SH",10,"none","","SH"
"DIELON_GR_8",10,"CG","","GR"
"DIELON_GR_8",10,"CG","","GR"
"SORAME_HF",10,"none","","HF"
"SORAME_GR_9",10,"CG","","GR"
"DIELON_SH_2",10,"CG","","SH"
"SAMRAC_WM",10,"none","","WM"
"SPITOM_SH",11,"none","","SH"
"MYRGAL_WM_6",11,"CG","","WM"
"SPITOM_GR",11,"none","","GR"
"SPIALB_HF_10",11,"CG","","HF"
"VIBCAS_WM_4",11,"CG","","WM"
"MYRGAL_WM",11,"none","","WM"
"SPITOM_SH",11,"none","","SH"
"AROMEL_SH",11,"none","","SH"
"SPITOM_HF_5",11,"CG","","HF"
"MYRGAL_GR",11,"none","","GR"
"SPITOM_SH",11,"none","","SH"
"SPIALB_WM_5",11,"RB","","WM"
"VIBCAS_WM_9",11,"CG","","WM"
"SPITOM_SH",11,"none","","SH"
"VIBCAS_HF",11,"none","","HF"
"AROMEL_GR",11,"none","","GR"
"AROMEL_WM_5",11,"CG","","WM"
"VIBCAS_HF",11,"none","","HF"
"VIBCAS_HF",11,"none","","HF"
"SPITOM_GR",11,"none","","GR"
"SPITOM_GR",11,"none","","GR"
"SPITOM_HF_6",11,"CG","","HF"
"AROMEL_HF_8",11,"CG","","HF"
"AROMEL_HF_8",11,"CG","","HF"
"AROMEL_GR",11,"none","","GR"
"AROMEL_HF_10",11,"CG","","HF"
"ALNINC_SH_6",12,"CG","","SH"
"ACEPEN_WM_5",12,"CG","","WM"
"ACEPEN_HF_12",12,"CG","","HF"
"BETPOP_GR_5",12,"CG","","GR"
"ACEPEN_GR",12,"none","","GR"
"BETPOP_GR_5",12,"CG","","GR"
"BETPAP_HF",12,"none","","HF"
"ALNINC_HF_8",12,"CG","","HF"
"BETALL_HF",12,"none","","HF"
"BETPAP_SH",12,"none","","SH"
"BETALL_HF",12,"none","","HF"
"BETPOP_SH",12,"none","","SH"
"AMECAN_SH",12,"none","","SH"
"SAMRAC_HF",13,"CG","","HF"
