Species,Plot,Location,GH
BETALL_HF,12,none,
BETPOP_SH,12,none,
AMECAN_SH,12,none,
SAMRAC_HF,13,CG,
ACESPI_WM,13,none,
SORAME_HF,13,none,
SAMRAC_HF,13,CG,
ACESPI_WM,13,none,
DIELON_HF_1,13,CG,
SORAME_SH_1,13,CG,
DIELON_GR_8,13,CG,
ACESPI_GR,13,none,
DIELON_HF_2,13,CG,
DIELON_HF_2,13,CG,
ACESPI_GR,13,none,
ACESPI_WM,13,none,
SAMRAC_SH,13,none,
DIELON_SH_2,13,CG,
ACESPI_WM,13,none,
SORAME_WM,13,none,
SORAME_WM,13,none,
SAMRAC_HF,13,CG,
SORAME_SH,13,none,
SAMRAC_HF,13,CG,
DIELON_SH_2,13,CG,
BETALL_HF,15,none,
BETALL_HF,15,none,
ALNINC_SH_7,15,CG,
BETPOP_SH,15,none,
AMECAN_SH,15,none,
AMECAN_SH,15,none,
ACEPEN_GR,15,none,
ACEPEN_GR,15,none,
ALNINC_HF_9,15,CG,
ACEPEN_GR,15,none,
BETPOP_WM_7,15,CG,
BETPOP_SH,15,none,
